experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR000BPF,ENCFF353WKC,A549,TAF1,10949,0.996895,99.6895
ENCSR000DMH,ENCFF281OWZ,lung,CTCF,22955,0.99682,99.682
ENCSR000DND,ENCFF547CLG,pancreas,CTCF,28049,0.995187,99.51870000000001
ENCSR000BHT,ENCFF557UKG,HeLa-S3,TAF1,14211,0.995145,99.5145
ENCSR000EFC,ENCFF382EZV,IMR-90,CHD1,3260,0.995092,99.50919999999999
ENCSR481YWD,ENCFF497RWM,A549,SMC3,16639,0.995012,99.5012
ENCSR000DYC,ENCFF674RQX,A549,MYC,9031,0.994906,99.4906
ENCSR000AQC,ENCFF967SJM,H1-hESC,RBBP5,20067,0.994568,99.4568
ENCSR785OKZ,ENCFF347MAZ,GM12878,RB1,9993,0.993796,99.3796
ENCSR000DZP,ENCFF599ZQS,GM12878,SMC3,20134,0.993444,99.3444
ENCSR000HPG,ENCFF324FFQ,IMR-90,SMC3,30516,0.992987,99.2987
ENCSR000EFF,ENCFF050OTE,IMR-90,MAZ,17690,0.992425,99.2425
ENCSR000BQF,ENCFF300PAY,SK-N-SH,TAF1,12681,0.992193,99.2193
ENCSR000DYX,ENCFF549HYB,GM12878,SIN3A,13686,0.992182,99.2182
ENCSR637QAM,ENCFF302BKM,GM12878,TRIM22,16060,0.992092,99.2092
ENCSR000ANO,ENCFF468JKI,fibroblast of lung,CTCF,32399,0.991975,99.1975
ENCSR332EYT,ENCFF176ESH,GM12878,STAT1,4962,0.991939,99.1939
ENCSR000EWL,ENCFF281NFW,K562,E2F4,9154,0.991807,99.1807
ENCSR785YRL,ENCFF983ZND,neutrophil,CTCF,25948,0.990982,99.0982
ENCSR000ATN,ENCFF873NGI,CD14-positive monocyte,CTCF,40055,0.990663,99.0663
ENCSR000DYE,ENCFF660KIF,A549,RAD21,25017,0.990446,99.0446
ENCSR000DLG,ENCFF479GJB,GM20000,CTCF,24482,0.990319,99.0319
ENCSR636YLV,ENCFF765WAE,A549,MAZ,3286,0.990262,99.0262
ENCSR000DZB,ENCFF350TKU,GM12878,ELK1,5929,0.990218,99.0218
ENCSR000DYY,ENCFF896OWK,GM12878,E2F4,3951,0.989876,98.9876
ENCSR000AQJ,ENCFF235UDJ,K562,SAP30,8493,0.989403,98.94030000000001
ENCSR000BIM,ENCFF667CNQ,GM12891,TAF1,13937,0.989237,98.9237
ENCSR000BKS,ENCFF937JNR,K562,TAF1,18660,0.989175,98.9175
ENCSR000DNI,ENCFF720CRM,spleen,CTCF,36705,0.988639,98.8639
ENCSR000DPS,ENCFF287RCH,AG09319,CTCF,36224,0.988599,98.8599
ENCSR872ZHM,ENCFF971PRU,HepG2,KDM5A,11024,0.98848,98.848
ENCSR000BHO,ENCFF026ZRB,H1-hESC,TAF1,27896,0.98835,98.835
ENCSR000AQI,ENCFF930OMM,K562,RBBP5,16593,0.988188,98.8188
ENCSR408JQO,ENCFF065MLN,GM12878,IRF3,2955,0.988156,98.8156
ENCSR000EFJ,ENCFF642DTY,IMR-90,RAD21,38391,0.988122,98.81219999999999
ENCSR000EDN,ENCFF766MOS,HepG2,MAZ,13391,0.987753,98.7753
ENCSR117KWH,ENCFF580TAE,GM12878,ZNF207,10343,0.987721,98.7721
ENCSR513XQX,ENCFF076UHS,A549,SIN3A,37503,0.987708,98.77080000000001
ENCSR000BGL,ENCFF222NHS,HepG2,SIN3A,17431,0.98692,98.69200000000001
ENCSR261VAS,ENCFF241PJE,smooth muscle cell,CTCF,28706,0.986797,98.6797
ENCSR362CPB,ENCFF527MOR,HepG2,HDAC1,11541,0.98657,98.657
ENCSR000BNY,ENCFF795HVQ,HCT116,ZBTB33,2206,0.986401,98.6401
ENCSR000BKU,ENCFF371NVU,K562,YY1,4516,0.986271,98.6271
ENCSR452YHM,ENCFF347MTY,HepG2,SIN3B,4500,0.986222,98.6222
ENCSR000DYD,ENCFF277ZAR,A549,CTCF,36455,0.985681,98.5681
ENCSR000BQN,ENCFF735TTP,PFSK-1,TAF1,11488,0.985376,98.5376
ENCSR657JLK,ENCFF892JRL,K562,SIN3B,7580,0.985092,98.50919999999999
ENCSR000BNT,ENCFF042DUJ,HepG2,YY1,9684,0.98482,98.482
ENCSR000APF,ENCFF199GLL,osteoblast,CTCF,36959,0.984713,98.4713
ENCSR000BPT,ENCFF457YJH,A549,ELF1,9681,0.984506,98.4506
ENCSR000DKZ,ENCFF075DWD,GM13976,CTCF,23158,0.984498,98.4498
ENCSR000BKA,ENCFF363SYB,GM12878,ETS1,10846,0.983865,98.3865
ENCSR000EGW,ENCFF662LUH,K562,SMC3,26092,0.983788,98.3788
ENCSR887MXT,ENCFF606VIF,HeLa-S3,ZHX1,2868,0.983612,98.36120000000001
ENCSR160ZLP,ENCFF059IGE,H1-hESC,KDM5A,3476,0.983602,98.36019999999999
ENCSR000DZX,ENCFF823NYZ,GM12878,IRF3,1641,0.983547,98.3547
ENCSR174GOO,ENCFF429KHK,HepG2,3xFLAG-HMGXB4,20953,0.983535,98.35350000000001
ENCSR000BPY,ENCFF615CVL,A549,GABPA,14787,0.983364,98.3364
ENCSR000DYB,ENCFF011OYO,WI38,CTCF,29449,0.982988,98.2988
ENCSR875PEI,ENCFF838FGJ,MCF-7,TRIM22,18357,0.982895,98.28949999999999
ENCSR000ECC,ENCFF200CCE,H1-hESC,NRF1,4186,0.982561,98.2561
ENCSR000BPU,ENCFF500LMX,A549,ETS1,7997,0.982493,98.24929999999999
ENCSR000AOO,ENCFF046QCH,astrocyte,CTCF,35729,0.982367,98.2367
ENCSR635OSG,ENCFF500XIG,liver,RAD21,21252,0.982355,98.2355
ENCSR920BLG,ENCFF446MUL,K562,SIN3A,11597,0.982323,98.2323
ENCSR000EEL,ENCFF565SBG,HepG2,TBP,16645,0.982277,98.2277
ENCSR000AQK,ENCFF490VGQ,H1-hESC,CHD1,3650,0.982192,98.2192
ENCSR000BQE,ENCFF899FIQ,Ishikawa,CTCF,23031,0.982068,98.2068
ENCSR000BHS,ENCFF868ZRM,HeLa-S3,GABPA,7014,0.982036,98.20360000000001
ENCSR000BSE,ENCFF056ESE,HCT116,CTCF,30116,0.981737,98.1737
ENCSR000EDW,ENCFF933XNU,HepG2,SMC3,25587,0.981553,98.1553
ENCSR000EBY,ENCFF372RQZ,H1-hESC,MYC,5205,0.98098,98.098
ENCSR000BNX,ENCFF279EVE,HCT116,YY1,7329,0.980761,98.0761
ENCSR000AUE,ENCFF378LBW,A549,CTCF,46029,0.98073,98.073
ENCSR000BPB,ENCFF600VDZ,SK-N-SH,SIN3A,12819,0.980654,98.0654
ENCSR000DZI,ENCFF380XEC,GM12878,MXI1,17639,0.980441,98.0441
ENCSR407BEZ,ENCFF158NBU,HepG2,ZHX2,10449,0.980094,98.0094
ENCSR000BPS,ENCFF216EYM,A549,ATF3,10245,0.97999,97.99900000000001
ENCSR000AMA,ENCFF286EMA,HepG2,CTCF,32661,0.979547,97.95469999999999
ENCSR642VZY,ENCFF561ZCZ,K562,KDM4B,5691,0.979441,97.9441
ENCSR000DZA,ENCFF460RWM,GM12878,MAZ,21748,0.979308,97.93079999999999
ENCSR000EUU,ENCFF786BQV,HCT116,POLR2A,15512,0.979306,97.9306
ENCSR000EDD,ENCFF237THN,HeLa-S3,TBP,22676,0.979097,97.9097
ENCSR000BPM,ENCFF993AAD,A549,YY1,12127,0.979055,97.9055
ENCSR000DZE,ENCFF836XKX,GM12878,CHD1,5309,0.978904,97.8904
ENCSR000DRE,ENCFF735IEO,GM12865,CTCF,37595,0.978747,97.8747
ENCSR000DSZ,ENCFF255LCA,astrocyte of the cerebellum,CTCF,39968,0.978658,97.86580000000001
ENCSR000DQI,ENCFF774IIX,BJ,CTCF,44353,0.978649,97.8649
ENCSR000DUB,ENCFF913REJ,HeLa-S3,CTCF,35882,0.978569,97.8569
ENCSR000DZL,ENCFF114TBN,GM12878,ZNF143,12673,0.978537,97.8537
ENCSR219MKK,ENCFF271QKH,HeLa-S3,DEK,7638,0.978528,97.8528
ENCSR000DRZ,ENCFF906GEW,GM12878,CTCF,36474,0.978341,97.8341
ENCSR670YPQ,ENCFF249MMP,HepG2,3xFLAG-DMAP1,26051,0.978312,97.8312
ENCSR673WZL,ENCFF004LSM,LNCAP,CTCF,32381,0.978166,97.8166
ENCSR000DVH,ENCFF010WHH,kidney epithelial cell,CTCF,43868,0.978093,97.8093
ENCSR000DUX,ENCFF310TCJ,fibroblast of pulmonary artery,CTCF,40827,0.978054,97.80539999999999
ENCSR000BPL,ENCFF992GIC,SK-N-MC,POLR2AphosphoS5,14289,0.977955,97.7955
ENCSR000BLU,ENCFF088PUQ,H1-hESC,TAF7,11881,0.977948,97.79480000000001
ENCSR000BIW,ENCFF743LHV,H1-hESC,GABPA,5282,0.977849,97.7849
ENCSR000EUO,ENCFF687AZW,H1-hESC,CTBP2,5856,0.977801,97.7801
ENCSR000EFW,ENCFF729POI,K562,UBTF,8076,0.977093,97.7093
ENCSR745VSQ,ENCFF492YUE,HepG2,3xFLAG-GMEB2,5160,0.976744,97.67439999999999
ENCSR514VAY,ENCFF309XXF,GM12878,HCFC1,8026,0.976576,97.6576
ENCSR508LMH,ENCFF808CXM,HepG2,ASH2L,39879,0.976554,97.6554
ENCSR558OMR,ENCFF043KKC,HepG2,3xFLAG-TFDP1,13766,0.976391,97.6391
ENCSR596FEL,ENCFF084VQB,HepG2,3xFLAG-RBPJ,16488,0.976164,97.6164
ENCSR069DPL,ENCFF575KEH,neural progenitor cell,EZH2,23467,0.976094,97.60940000000001
ENCSR000BHB,ENCFF803HGS,GM12878,EP300,1995,0.97594,97.59400000000001
ENCSR000DRR,ENCFF522MKO,GM12874,CTCF,38177,0.975928,97.5928
ENCSR933MHJ,ENCFF825GFC,A549,KDM5A,4796,0.975813,97.5813
ENCSR000AKB,ENCFF536RGD,GM12878,CTCF,38952,0.975637,97.5637
ENCSR000BHE,ENCFF809XRT,A549,NR3C1,1702,0.975323,97.5323
ENCSR000DZF,ENCFF075AKQ,GM12878,MAX,15548,0.975174,97.5174
ENCSR000BJT,ENCFF642VPT,A549,NR3C1,10110,0.975173,97.51729999999999
ENCSR000BGS,ENCFF767OVB,GM12878,TAF1,15385,0.975171,97.5171
ENCSR000BJX,ENCFF636ARM,HepG2,SP1,2011,0.975137,97.5137
ENCSR000EZU,ENCFF723QGS,K562,MYC,12954,0.974988,97.4988
ENCSR000DPP,ENCFF419OQC,AG09309,CTCF,41093,0.974984,97.49839999999999
ENCSR000AQF,ENCFF016MVN,K562,HDAC1,7159,0.974717,97.4717
ENCSR000DTI,ENCFF700UZN,cardiac muscle cell,CTCF,45744,0.974576,97.4576
ENCSR000AQU,ENCFF239TCZ,DND-41,CTCF,35295,0.974557,97.45570000000001
ENCSR000BPZ,ENCFF192LJQ,A549,ZBTB33,9454,0.974402,97.4402
ENCSR000FAZ,ENCFF695KNI,K562,MYC,7193,0.974281,97.4281
ENCSR670JDQ,ENCFF124NBN,K562,RB1,21224,0.974227,97.42269999999999
ENCSR503GVO,ENCFF897IRP,HCT116,ZFX,15109,0.973658,97.36580000000001
ENCSR611WZO,ENCFF801IEP,HeLa-S3,SREBF2,2900,0.973103,97.31030000000001
ENCSR000EGT,ENCFF548PPV,K562,IRF1,13817,0.972932,97.2932
ENCSR000BKJ,ENCFF300KTC,GM12891,YY1,12103,0.972899,97.28989999999999
ENCSR387JKT,ENCFF376AQU,HepG2,3xFLAG-KDM3A,15713,0.97257,97.257
ENCSR000EDY,ENCFF684AZX,HepG2,BRCA1,1851,0.972447,97.2447
ENCSR254YRM,ENCFF536RRU,liver,CTCF,36672,0.972295,97.2295
ENCSR000DNA,ENCFF248QLS,A549,CTCF,36323,0.972249,97.2249
ENCSR109YGM,ENCFF562ERQ,K562,CREB3L1,13696,0.972182,97.2182
ENCSR402IDP,ENCFF542EGF,MM.1S,CTCF,43021,0.972107,97.2107
ENCSR000ALV,ENCFF207ZRI,mammary epithelial cell,CTCF,34951,0.972047,97.2047
ENCSR665UFC,ENCFF694YHD,HepG2,3xFLAG-ZNF639,11516,0.972039,97.2039
ENCSR529JYA,ENCFF838QKQ,HepG2,HCFC1,5501,0.971823,97.1823
ENCSR441KFW,ENCFF459PYY,HepG2,3xFLAG-MXD4,20608,0.97171,97.17099999999999
ENCSR986CDX,ENCFF296WNS,K562,NEUROD1,10378,0.971671,97.16709999999999
ENCSR315NAC,ENCFF043GDK,LNCAP,CTCF,44032,0.971543,97.1543
ENCSR000ECB,ENCFF108YPE,H1-hESC,TBP,18153,0.97141,97.141
ENCSR412ZDC,ENCFF674FRU,HepG2,3xFLAG-AHR,6730,0.971322,97.1322
ENCSR523XCR,ENCFF866ZRE,HepG2,RNF2,10021,0.97126,97.126
ENCSR071YVR,ENCFF935AGY,HepG2,3xFLAG-KMT2B,21227,0.971075,97.1075
ENCSR000BRL,ENCFF582OZH,A549,SIX5,7329,0.970937,97.0937
ENCSR000DUM,ENCFF401MQL,HFF-Myc,CTCF,40587,0.970779,97.0779
ENCSR288IJC,ENCFF241JCK,MCF-7,MAZ,15039,0.970676,97.0676
ENCSR000EWJ,ENCFF680USG,K562,E2F6,16654,0.970638,97.0638
ENCSR793HVL,ENCFF060MGE,GM12878,E2F8,4735,0.970433,97.0433
ENCSR000BIB,ENCFF893SZU,GM12892,TAF1,10920,0.970421,97.0421
ENCSR000DYQ,ENCFF889SRN,GM12878,ESRRA,3558,0.970208,97.0208
ENCSR462KYU,ENCFF882PRQ,HepG2,3xFLAG-GABPB1,29358,0.970127,97.0127
ENCSR000BRF,ENCFF910CRE,A549,JUND,16666,0.970119,97.0119
ENCSR000DPY,ENCFF715GFM,fibroblast of the aortic adventitia,CTCF,42375,0.969959,96.9959
ENCSR000DZZ,ENCFF571FGG,GM12878,TBP,15613,0.969449,96.9449
ENCSR000EEG,ENCFF787LPL,HepG2,RAD21,39847,0.969207,96.92070000000001
ENCSR000EFZ,ENCFF161BNR,K562,UBTF,18499,0.969188,96.9188
ENCSR000DLB,ENCFF803RRC,GM13977,CTCF,38786,0.969113,96.9113
ENCSR000EZV,ENCFF120IMP,K562,MYC,11061,0.9689,96.89
ENCSR000EBO,ENCFF878JMO,H1-hESC,SIN3A,28299,0.968727,96.8727
ENCSR000EDS,ENCFF238MIV,HepG2,MAX,12518,0.968286,96.8286
ENCSR000EDV,ENCFF339LOH,HepG2,EP300,7434,0.96785,96.785
ENCSR252QYR,ENCFF310IQK,hepatocyte,CTCF,46684,0.967655,96.7655
ENCSR000BMD,ENCFF617WYS,K562,ELF1,15091,0.967597,96.75970000000001
ENCSR340BXT,ENCFF416QPD,HepG2,3xFLAG-KAT7,14157,0.967083,96.70830000000001
ENCSR680OFU,ENCFF979KQB,HeLa-S3,EP300,14098,0.966591,96.6591
ENCSR909GJR,ENCFF701OWK,HepG2,3xFLAG-MXD3,15597,0.966147,96.6147
ENCSR000DKN,ENCFF252FHU,H54,CTCF,44221,0.966057,96.6057
ENCSR000EIC,ENCFF241SRR,SK-N-SH,CTCF,47315,0.966057,96.6057
ENCSR000BQQ,ENCFF936EFC,A549,TCF12,19614,0.965943,96.5943
ENCSR828NCB,ENCFF199EDM,GM12878,GATAD2B,28113,0.965745,96.5745
ENCSR027UFT,ENCFF586XTX,C4-2B,ZFX,11121,0.96574,96.574
ENCSR730TBC,ENCFF651YUW,HepG2,MNT,9804,0.965728,96.5728
ENCSR000EGZ,ENCFF457COE,K562,MXI1,8599,0.965694,96.5694
ENCSR681WHQ,ENCFF487KTD,HepG2,ETS1,7947,0.96527,96.527
ENCSR221GAN,ENCFF768YPD,K562,MBD2,11668,0.965033,96.5033
ENCSR557RVF,ENCFF376CAG,K562,ZHX1,2689,0.964299,96.4299
ENCSR765MKZ,ENCFF751UFO,HepG2,3xFLAG-DRAP1,24501,0.964206,96.42060000000001
ENCSR938ETG,ENCFF413WVP,HepG2,3xFLAG-KLF9,8381,0.964205,96.4205
ENCSR000DWQ,ENCFF498QCT,foreskin fibroblast,CTCF,46678,0.964137,96.4137
ENCSR822CEA,ENCFF761CZS,neural cell,CTCF,50562,0.964123,96.4123
ENCSR000DVQ,ENCFF439OCI,fibroblast of villous mesenchyme,CTCF,46538,0.964051,96.4051
ENCSR583ACG,ENCFF825ZCR,K562,BRD4,6188,0.963963,96.3963
ENCSR000DSU,ENCFF183YLB,astrocyte of the spinal cord,CTCF,47187,0.963952,96.3952
ENCSR000APM,ENCFF825LUV,fibroblast of dermis,CTCF,44220,0.963885,96.3885
ENCSR000BGA,ENCFF926GAC,PFSK-1,FOXP2,11885,0.96382,96.382
ENCSR823ADL,ENCFF291BVN,HepG2,3xFLAG-RFXANK,8036,0.963539,96.35390000000001
ENCSR590CNM,ENCFF464IZM,HepG2,GATA4,10511,0.963467,96.3467
ENCSR000EBU,ENCFF714LGO,H1-hESC,CHD1,1724,0.963457,96.3457
ENCSR000BNK,ENCFF653WEF,K562,CTCFL,10465,0.963402,96.3402
ENCSR072EUE,ENCFF898YBS,OCI-LY1,CTCF,40997,0.963241,96.3241
ENCSR000BME,ENCFF482PBU,K562,ZBTB7A,21365,0.962977,96.29769999999999
ENCSR000BNN,ENCFF144DMD,K562,THAP1,4501,0.962897,96.2897
ENCSR974OFJ,ENCFF379JVC,GM12878,KLF5,7652,0.962886,96.2886
ENCSR514EOE,ENCFF626FDD,HepG2,BRD4,4356,0.96281,96.281
ENCSR000BLR,ENCFF643PFS,K562,SIN3A,725,0.962759,96.27590000000001
ENCSR000BMY,ENCFF618UTS,GM12878,RAD21,38813,0.962693,96.2693
ENCSR384LYW,ENCFF635YAT,hepatocyte,EZH2,9484,0.962463,96.24629999999999
ENCSR636MKU,ENCFF245FMD,GM12878,BACH1,15422,0.962327,96.23270000000001
ENCSR468LUO,ENCFF598QQF,MCF-7,SIN3A,27739,0.962255,96.2255
ENCSR210HBN,ENCFF650ZHD,HepG2,3xFLAG-IKZF5,24225,0.962229,96.2229
ENCSR876UYH,ENCFF577XYS,MCF-7,ZHX2,5146,0.962106,96.2106
ENCSR563LLO,ENCFF634VUQ,K562,E2F1,7598,0.962095,96.2095
ENCSR360JOC,ENCFF531CTU,MCF-7,CHD1,8440,0.962085,96.2085
ENCSR382WLL,ENCFF810GDI,MCF-7,ELK1,4942,0.961959,96.1959
ENCSR000BPE,ENCFF154NAC,A549,SP1,42871,0.961582,96.15820000000001
ENCSR991ELG,ENCFF440HZQ,K562,SP1,12372,0.961445,96.1445
ENCSR742TMU,ENCFF337XJU,K562,ZNF282,8547,0.96139,96.139
ENCSR616OSG,ENCFF236SLK,HepG2,3xFLAG-KLF11,11806,0.961376,96.1376
ENCSR000EFG,ENCFF856RYW,IMR-90,RCOR1,2610,0.961303,96.1303
ENCSR000EXX,ENCFF352SHQ,Raji,POLR2A,28489,0.961248,96.1248
ENCSR000BLO,ENCFF554UPA,K562,GABPA,11354,0.961247,96.12469999999999
ENCSR173CTF,ENCFF842LKY,HepG2,3xFLAG-ZNF580,17602,0.961084,96.1084
ENCSR502NRF,ENCFF554VSA,MCF-7,ELF1,16441,0.960586,96.0586
ENCSR000BMZ,ENCFF390NSZ,HepG2,ELF1,20243,0.960233,96.0233
ENCSR372JXR,ENCFF303TLQ,HepG2,3xFLAG-ZNF511,14761,0.96003,96.003
ENCSR914NEI,ENCFF678KKB,K562,MTA3,20281,0.959963,95.9963
ENCSR156CWW,ENCFF497ZJO,HepG2,3xFLAG-DNMT3B,9905,0.959717,95.9717
ENCSR000EFU,ENCFF408WSW,K562,ELK1,3712,0.959591,95.95909999999999
ENCSR108TYQ,ENCFF469QQF,HepG2,3xFLAG-GATAD1,25012,0.959459,95.9459
ENCSR000BQH,ENCFF200RTY,A549,BCL3,9475,0.959367,95.9367
ENCSR000EEH,ENCFF166IHW,HepG2,NRF1,2013,0.958768,95.87679999999999
ENCSR485OYR,ENCFF931ILD,HepG2,3xFLAG-ZBTB25,18060,0.958583,95.8583
ENCSR000BKE,ENCFF416CBR,HepG2,ATF3,3180,0.958491,95.84909999999999
ENCSR000EHL,ENCFF375FRM,K562,POLR2A,12475,0.958156,95.8156
ENCSR000BGR,ENCFF003INQ,GM12878,PBX3,3210,0.957944,95.7944
ENCSR000DQN,ENCFF179QAX,Caco-2,CTCF,45008,0.957496,95.7496
ENCSR993LMB,ENCFF482RHW,HepG2,3xFLAG-TGIF2,20229,0.957338,95.7338
ENCSR757EKM,ENCFF407YHS,HepG2,3xFLAG-KLF6,18459,0.957311,95.7311
ENCSR000DMY,ENCFF363BEL,D721Med,CTCF,41494,0.957295,95.7295
ENCSR096IIB,ENCFF927RTA,HepG2,3xFLAG-ETV5,19655,0.957161,95.7161
