experiment_accession,peak_accession,biosample,target,n_peaks,authors_overlap_fraction,authors_percent_overlap
ENCSR613NUC,ENCFF446YER,K562,ARNT,11845,0.906205,90.6205
ENCSR000EUP,ENCFF731HPF,H1-hESC,MAX,4938,0.906035,90.6035
ENCSR230PTV,ENCFF830BRF,K562,ZBTB2,11854,0.905939,90.5939
ENCSR756ZKG,ENCFF033ZLO,OCI-LY3,CTCF,55568,0.905899,90.5899
ENCSR862PNL,ENCFF150MRK,HEK293T,L3MBTL2,26609,0.905784,90.5784
ENCSR298JCG,ENCFF757UDB,K562,NCOR1,6068,0.90557,90.557
ENCSR966PJY,ENCFF338JPJ,HepG2,3xFLAG-MIXL1,28121,0.905231,90.5231
ENCSR656SIB,ENCFF424JGX,HepG2,3xFLAG-ZBED5,5237,0.904907,90.4907
ENCSR725VFL,ENCFF300YEH,GM12878,TCF12,11722,0.90488,90.488
ENCSR000EXL,ENCFF108SNI,Panc1,TCF7L2,18984,0.904867,90.4867
ENCSR666QNP,ENCFF467MXY,HepG2,3xFLAG-TEAD3,31670,0.904263,90.4263
ENCSR345YWJ,ENCFF520SXF,liver,ZBTB33,4277,0.904138,90.4138
ENCSR302AWT,ENCFF154SRU,K562,FOXK2,18189,0.903733,90.3733
ENCSR096KPA,ENCFF064OJL,GM23248,EZH2phosphoT487,9253,0.903383,90.3383
ENCSR038XIA,ENCFF174SKR,MCF-7,ZNF444,17922,0.903192,90.3192
ENCSR780BBJ,ENCFF129QWO,K562,ZZZ3,1735,0.90317,90.31700000000001
ENCSR487ASM,ENCFF090GMA,MCF-7,SMARCA5,7062,0.903144,90.31439999999999
ENCSR670FDA,ENCFF843LQG,K562,NFATC3,4139,0.902875,90.2875
ENCSR000EDP,ENCFF137NDG,HepG2,ARID3A,20333,0.902818,90.2818
ENCSR847DIT,ENCFF138OAF,liver,MAX,29224,0.902751,90.2751
ENCSR000BHD,ENCFF952CNN,GM12878,PAX5,23267,0.90248,90.24799999999999
ENCSR000AHD,ENCFF409MXQ,MCF-7,CTCF,54335,0.90242,90.242
ENCSR238QRG,ENCFF145WWK,HepG2,TBX3,8457,0.902211,90.22109999999999
ENCSR000EHY,ENCFF773HOI,SK-N-SH,RFX5,7420,0.902022,90.2022
ENCSR387QUV,ENCFF192MYZ,GM12878,RELB,40062,0.901503,90.1503
ENCSR117CHD,ENCFF120LIC,HepG2,3xFLAG-HOMEZ,21994,0.900973,90.0973
ENCSR663ZZZ,ENCFF239NEA,MCF-7,MNT,34199,0.900874,90.0874
ENCSR000EZX,ENCFF385TGU,K562,JUN,4833,0.900476,90.0476
ENCSR192AFN,ENCFF219TAL,GM12878,PAX8,2322,0.900086,90.0086
ENCSR000BQK,ENCFF579NXQ,GM12878,ATF2,28826,0.900056,90.0056
ENCSR000EIB,ENCFF109HIE,SK-N-SH,JUND,22988,0.899991,89.9991
ENCSR000EGB,ENCFF992BIU,K562,TBL1XR1,14513,0.899814,89.9814
ENCSR000BSA,ENCFF333VCK,HCT116,JUND,21907,0.899484,89.94839999999999
ENCSR569ARC,ENCFF872LJE,HepG2,3xFLAG-NFYC,14710,0.899116,89.9116
ENCSR513UQG,ENCFF346KJG,IMR-90,USF2,14477,0.898736,89.8736
ENCSR460LGH,ENCFF880LTL,C4-2B,CTCF,91273,0.89859,89.859
ENCSR680UQE,ENCFF764DSU,GM12878,IKZF2,38470,0.898336,89.8336
ENCSR159OCC,ENCFF539RBU,K562,3xFLAG-ATF1,3352,0.89827,89.827
ENCSR000FAU,ENCFF304OMG,K562,STAT1,863,0.89803,89.803
ENCSR000BOV,ENCFF426UBL,Panc1,POLR2AphosphoS5,23124,0.897855,89.7855
